method,function,iterations,interval,root,comp_time
Newton Raphson,"""sin(x) + cos(x) + 1""",8,"[1.1, 4.0]",3.1415926535717373,0.0006704330444335938
Newton Raphson,"""sin(x) + cos(x) + 1""",8,"[1.1, 4.0]",3.1415926535717373,0.0004954338073730469
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0006220340728759766
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0006258487701416016
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0008795261383056641
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0007317066192626953
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0008711814880371094
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0007941722869873047
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0006937980651855469
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0006241798400878906
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0005705356597900391
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0010080337524414062
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0009415149688720703
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0010187625885009766
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0010004043579101562
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.001088857650756836
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0006206035614013672
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0006325244903564453
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0006198883056640625
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0007872581481933594
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0008177757263183594
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0007104873657226562
